"Row","Group","Emoji","Name","Code Point","Windows Input","HTML Entity","macOS Input"
"43","Smileys & Emotion","🫥","E14.0 dotted line face","U+1FAE5","Type 1FAE5, then Alt+X","&#x1FAE5;","⌃⌘Space → type name and select"
"44","Smileys & Emotion","😶‍🌫️","E13.1 face in clouds","U+1F636 U+200D U+1F32B U+FE0F","Type 1F636200D1F32BFE0F, then Alt+X","&#x1F636; &#x200D; &#x1F32B; &#xFE0F;","⌃⌘Space → type name and select"
"45","Smileys & Emotion","😶‍🌫","E13.1 face in clouds","U+1F636 U+200D U+1F32B","Type 1F636200D1F32B, then Alt+X","&#x1F636; &#x200D; &#x1F32B;","⌃⌘Space → type name and select"
"46","Smileys & Emotion","😏","E0.6 smirking face","U+1F60F","Type 1F60F, then Alt+X","&#x1F60F;","⌃⌘Space → type name and select"
"47","Smileys & Emotion","😒","E0.6 unamused face","U+1F612","Type 1F612, then Alt+X","&#x1F612;","⌃⌘Space → type name and select"
"48","Smileys & Emotion","🙄","E1.0 face with rolling eyes","U+1F644","Type 1F644, then Alt+X","&#x1F644;","⌃⌘Space → type name and select"
"49","Smileys & Emotion","😬","E1.0 grimacing face","U+1F62C","Type 1F62C, then Alt+X","&#x1F62C;","⌃⌘Space → type name and select"
"50","Smileys & Emotion","😮‍💨","E13.1 face exhaling","U+1F62E U+200D U+1F4A8","Type 1F62E200D1F4A8, then Alt+X","&#x1F62E; &#x200D; &#x1F4A8;","⌃⌘Space → type name and select"
"51","Smileys & Emotion","🤥","E3.0 lying face","U+1F925","Type 1F925, then Alt+X","&#x1F925;","⌃⌘Space → type name and select"
"52","Smileys & Emotion","🫨","E15.0 shaking face","U+1FAE8","Type 1FAE8, then Alt+X","&#x1FAE8;","⌃⌘Space → type name and select"
"53","Smileys & Emotion","😌","E0.6 relieved face","U+1F60C","Type 1F60C, then Alt+X","&#x1F60C;","⌃⌘Space → type name and select"
"54","Smileys & Emotion","😔","E0.6 pensive face","U+1F614","Type 1F614, then Alt+X","&#x1F614;","⌃⌘Space → type name and select"
"55","Smileys & Emotion","😪","E0.6 sleepy face","U+1F62A","Type 1F62A, then Alt+X","&#x1F62A;","⌃⌘Space → type name and select"
"56","Smileys & Emotion","🤤","E3.0 drooling face","U+1F924","Type 1F924, then Alt+X","&#x1F924;","⌃⌘Space → type name and select"
"57","Smileys & Emotion","😴","E1.0 sleeping face","U+1F634","Type 1F634, then Alt+X","&#x1F634;","⌃⌘Space → type name and select"
"58","Smileys & Emotion","😷","E0.6 face with medical mask","U+1F637","Type 1F637, then Alt+X","&#x1F637;","⌃⌘Space → type name and select"
"59","Smileys & Emotion","🤒","E1.0 face with thermometer","U+1F912","Type 1F912, then Alt+X","&#x1F912;","⌃⌘Space → type name and select"
"60","Smileys & Emotion","🤕","E1.0 face with head-bandage","U+1F915","Type 1F915, then Alt+X","&#x1F915;","⌃⌘Space → type name and select"
"61","Smileys & Emotion","🤢","E3.0 nauseated face","U+1F922","Type 1F922, then Alt+X","&#x1F922;","⌃⌘Space → type name and select"
"62","Smileys & Emotion","🤮","E5.0 face vomiting","U+1F92E","Type 1F92E, then Alt+X","&#x1F92E;","⌃⌘Space → type name and select"
"63","Smileys & Emotion","🤧","E3.0 sneezing face","U+1F927","Type 1F927, then Alt+X","&#x1F927;","⌃⌘Space → type name and select"
"64","Smileys & Emotion","🥵","E11.0 hot face","U+1F975","Type 1F975, then Alt+X","&#x1F975;","⌃⌘Space → type name and select"
"65","Smileys & Emotion","🥶","E11.0 cold face","U+1F976","Type 1F976, then Alt+X","&#x1F976;","⌃⌘Space → type name and select"
"66","Smileys & Emotion","🥴","E11.0 woozy face","U+1F974","Type 1F974, then Alt+X","&#x1F974;","⌃⌘Space → type name and select"
"67","Smileys & Emotion","😵","E0.6 face with crossed-out eyes","U+1F635","Type 1F635, then Alt+X","&#x1F635;","⌃⌘Space → type name and select"
"68","Smileys & Emotion","😵‍💫","E13.1 face with spiral eyes","U+1F635 U+200D U+1F4AB","Type 1F635200D1F4AB, then Alt+X","&#x1F635; &#x200D; &#x1F4AB;","⌃⌘Space → type name and select"
"69","Smileys & Emotion","🤯","E5.0 exploding head","U+1F92F","Type 1F92F, then Alt+X","&#x1F92F;","⌃⌘Space → type name and select"
"70","Smileys & Emotion","🤠","E3.0 cowboy hat face","U+1F920","Type 1F920, then Alt+X","&#x1F920;","⌃⌘Space → type name and select"
"71","Smileys & Emotion","🥳","E11.0 partying face","U+1F973","Type 1F973, then Alt+X","&#x1F973;","⌃⌘Space → type name and select"
"72","Smileys & Emotion","🥸","E13.0 disguised face","U+1F978","Type 1F978, then Alt+X","&#x1F978;","⌃⌘Space → type name and select"
"73","Smileys & Emotion","😎","E1.0 smiling face with sunglasses","U+1F60E","Type 1F60E, then Alt+X","&#x1F60E;","⌃⌘Space → type name and select"
"74","Smileys & Emotion","🤓","E1.0 nerd face","U+1F913","Type 1F913, then Alt+X","&#x1F913;","⌃⌘Space → type name and select"
"75","Smileys & Emotion","🧐","E5.0 face with monocle","U+1F9D0","Type 1F9D0, then Alt+X","&#x1F9D0;","⌃⌘Space → type name and select"
"76","Smileys & Emotion","😕","E1.0 confused face","U+1F615","Type 1F615, then Alt+X","&#x1F615;","⌃⌘Space → type name and select"
"77","Smileys & Emotion","🫤","E14.0 face with diagonal mouth","U+1FAE4","Type 1FAE4, then Alt+X","&#x1FAE4;","⌃⌘Space → type name and select"
"78","Smileys & Emotion","😟","E1.0 worried face","U+1F61F","Type 1F61F, then Alt+X","&#x1F61F;","⌃⌘Space → type name and select"
"79","Smileys & Emotion","🙁","E1.0 slightly frowning face","U+1F641","Type 1F641, then Alt+X","&#x1F641;","⌃⌘Space → type name and select"
"80","Smileys & Emotion","☹️","E0.7 frowning face","U+2639 U+FE0F","Type 2639FE0F, then Alt+X","&#x2639; &#xFE0F;","⌃⌘Space → type name and select"
"81","Smileys & Emotion","☹","E0.7 frowning face","U+2639","Type 2639, then Alt+X","&#x2639;","⌃⌘Space → type name and select"
"82","Smileys & Emotion","😮","E1.0 face with open mouth","U+1F62E","Type 1F62E, then Alt+X","&#x1F62E;","⌃⌘Space → type name and select"
"83","Smileys & Emotion","😯","E1.0 hushed face","U+1F62F","Type 1F62F, then Alt+X","&#x1F62F;","⌃⌘Space → type name and select"
"84","Smileys & Emotion","😲","E0.6 astonished face","U+1F632","Type 1F632, then Alt+X","&#x1F632;","⌃⌘Space → type name and select"
"85","Smileys & Emotion","😳","E0.6 flushed face","U+1F633","Type 1F633, then Alt+X","&#x1F633;","⌃⌘Space → type name and select"
"86","Smileys & Emotion","🥺","E11.0 pleading face","U+1F97A","Type 1F97A, then Alt+X","&#x1F97A;","⌃⌘Space → type name and select"
"87","Smileys & Emotion","🥹","E14.0 face holding back tears","U+1F979","Type 1F979, then Alt+X","&#x1F979;","⌃⌘Space → type name and select"
"88","Smileys & Emotion","😦","E1.0 frowning face with open mouth","U+1F626","Type 1F626, then Alt+X","&#x1F626;","⌃⌘Space → type name and select"
"89","Smileys & Emotion","😧","E1.0 anguished face","U+1F627","Type 1F627, then Alt+X","&#x1F627;","⌃⌘Space → type name and select"
