"Row","Group","Emoji","Name","Code Point","Windows Input","HTML Entity","macOS Input"
"1116","People & Body","🧑🏾‍🌾","E12.1 farmer: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F33E","Type 1F9D11F3FE200D1F33E, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1117","People & Body","🧑🏿‍🌾","E12.1 farmer: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F33E","Type 1F9D11F3FF200D1F33E, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1118","People & Body","👨‍🌾","E4.0 man farmer","U+1F468 U+200D U+1F33E","Type 1F468200D1F33E, then Alt+X","&#x1F468; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1119","People & Body","👨🏻‍🌾","E4.0 man farmer: light skin tone","U+1F468 U+1F3FB U+200D U+1F33E","Type 1F4681F3FB200D1F33E, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1120","People & Body","👨🏼‍🌾","E4.0 man farmer: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F33E","Type 1F4681F3FC200D1F33E, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1121","People & Body","👨🏽‍🌾","E4.0 man farmer: medium skin tone","U+1F468 U+1F3FD U+200D U+1F33E","Type 1F4681F3FD200D1F33E, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1122","People & Body","👨🏾‍🌾","E4.0 man farmer: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F33E","Type 1F4681F3FE200D1F33E, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1123","People & Body","👨🏿‍🌾","E4.0 man farmer: dark skin tone","U+1F468 U+1F3FF U+200D U+1F33E","Type 1F4681F3FF200D1F33E, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1124","People & Body","👩‍🌾","E4.0 woman farmer","U+1F469 U+200D U+1F33E","Type 1F469200D1F33E, then Alt+X","&#x1F469; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1125","People & Body","👩🏻‍🌾","E4.0 woman farmer: light skin tone","U+1F469 U+1F3FB U+200D U+1F33E","Type 1F4691F3FB200D1F33E, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1126","People & Body","👩🏼‍🌾","E4.0 woman farmer: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F33E","Type 1F4691F3FC200D1F33E, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1127","People & Body","👩🏽‍🌾","E4.0 woman farmer: medium skin tone","U+1F469 U+1F3FD U+200D U+1F33E","Type 1F4691F3FD200D1F33E, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1128","People & Body","👩🏾‍🌾","E4.0 woman farmer: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F33E","Type 1F4691F3FE200D1F33E, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1129","People & Body","👩🏿‍🌾","E4.0 woman farmer: dark skin tone","U+1F469 U+1F3FF U+200D U+1F33E","Type 1F4691F3FF200D1F33E, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F33E;","⌃⌘Space → type name and select"
"1130","People & Body","🧑‍🍳","E12.1 cook","U+1F9D1 U+200D U+1F373","Type 1F9D1200D1F373, then Alt+X","&#x1F9D1; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1131","People & Body","🧑🏻‍🍳","E12.1 cook: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F373","Type 1F9D11F3FB200D1F373, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1132","People & Body","🧑🏼‍🍳","E12.1 cook: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F373","Type 1F9D11F3FC200D1F373, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1133","People & Body","🧑🏽‍🍳","E12.1 cook: medium skin tone","U+1F9D1 U+1F3FD U+200D U+1F373","Type 1F9D11F3FD200D1F373, then Alt+X","&#x1F9D1; &#x1F3FD; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1134","People & Body","🧑🏾‍🍳","E12.1 cook: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F373","Type 1F9D11F3FE200D1F373, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1135","People & Body","🧑🏿‍🍳","E12.1 cook: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F373","Type 1F9D11F3FF200D1F373, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1136","People & Body","👨‍🍳","E4.0 man cook","U+1F468 U+200D U+1F373","Type 1F468200D1F373, then Alt+X","&#x1F468; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1137","People & Body","👨🏻‍🍳","E4.0 man cook: light skin tone","U+1F468 U+1F3FB U+200D U+1F373","Type 1F4681F3FB200D1F373, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1138","People & Body","👨🏼‍🍳","E4.0 man cook: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F373","Type 1F4681F3FC200D1F373, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1139","People & Body","👨🏽‍🍳","E4.0 man cook: medium skin tone","U+1F468 U+1F3FD U+200D U+1F373","Type 1F4681F3FD200D1F373, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1140","People & Body","👨🏾‍🍳","E4.0 man cook: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F373","Type 1F4681F3FE200D1F373, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1141","People & Body","👨🏿‍🍳","E4.0 man cook: dark skin tone","U+1F468 U+1F3FF U+200D U+1F373","Type 1F4681F3FF200D1F373, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1142","People & Body","👩‍🍳","E4.0 woman cook","U+1F469 U+200D U+1F373","Type 1F469200D1F373, then Alt+X","&#x1F469; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1143","People & Body","👩🏻‍🍳","E4.0 woman cook: light skin tone","U+1F469 U+1F3FB U+200D U+1F373","Type 1F4691F3FB200D1F373, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1144","People & Body","👩🏼‍🍳","E4.0 woman cook: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F373","Type 1F4691F3FC200D1F373, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1145","People & Body","👩🏽‍🍳","E4.0 woman cook: medium skin tone","U+1F469 U+1F3FD U+200D U+1F373","Type 1F4691F3FD200D1F373, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1146","People & Body","👩🏾‍🍳","E4.0 woman cook: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F373","Type 1F4691F3FE200D1F373, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1147","People & Body","👩🏿‍🍳","E4.0 woman cook: dark skin tone","U+1F469 U+1F3FF U+200D U+1F373","Type 1F4691F3FF200D1F373, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F373;","⌃⌘Space → type name and select"
"1148","People & Body","🧑‍🔧","E12.1 mechanic","U+1F9D1 U+200D U+1F527","Type 1F9D1200D1F527, then Alt+X","&#x1F9D1; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1149","People & Body","🧑🏻‍🔧","E12.1 mechanic: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F527","Type 1F9D11F3FB200D1F527, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1150","People & Body","🧑🏼‍🔧","E12.1 mechanic: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F527","Type 1F9D11F3FC200D1F527, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1151","People & Body","🧑🏽‍🔧","E12.1 mechanic: medium skin tone","U+1F9D1 U+1F3FD U+200D U+1F527","Type 1F9D11F3FD200D1F527, then Alt+X","&#x1F9D1; &#x1F3FD; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1152","People & Body","🧑🏾‍🔧","E12.1 mechanic: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F527","Type 1F9D11F3FE200D1F527, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1153","People & Body","🧑🏿‍🔧","E12.1 mechanic: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F527","Type 1F9D11F3FF200D1F527, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1154","People & Body","👨‍🔧","E4.0 man mechanic","U+1F468 U+200D U+1F527","Type 1F468200D1F527, then Alt+X","&#x1F468; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1155","People & Body","👨🏻‍🔧","E4.0 man mechanic: light skin tone","U+1F468 U+1F3FB U+200D U+1F527","Type 1F4681F3FB200D1F527, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1156","People & Body","👨🏼‍🔧","E4.0 man mechanic: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F527","Type 1F4681F3FC200D1F527, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1157","People & Body","👨🏽‍🔧","E4.0 man mechanic: medium skin tone","U+1F468 U+1F3FD U+200D U+1F527","Type 1F4681F3FD200D1F527, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1158","People & Body","👨🏾‍🔧","E4.0 man mechanic: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F527","Type 1F4681F3FE200D1F527, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1159","People & Body","👨🏿‍🔧","E4.0 man mechanic: dark skin tone","U+1F468 U+1F3FF U+200D U+1F527","Type 1F4681F3FF200D1F527, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1160","People & Body","👩‍🔧","E4.0 woman mechanic","U+1F469 U+200D U+1F527","Type 1F469200D1F527, then Alt+X","&#x1F469; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1161","People & Body","👩🏻‍🔧","E4.0 woman mechanic: light skin tone","U+1F469 U+1F3FB U+200D U+1F527","Type 1F4691F3FB200D1F527, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1162","People & Body","👩🏼‍🔧","E4.0 woman mechanic: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F527","Type 1F4691F3FC200D1F527, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1163","People & Body","👩🏽‍🔧","E4.0 woman mechanic: medium skin tone","U+1F469 U+1F3FD U+200D U+1F527","Type 1F4691F3FD200D1F527, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1164","People & Body","👩🏾‍🔧","E4.0 woman mechanic: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F527","Type 1F4691F3FE200D1F527, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1165","People & Body","👩🏿‍🔧","E4.0 woman mechanic: dark skin tone","U+1F469 U+1F3FF U+200D U+1F527","Type 1F4691F3FF200D1F527, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F527;","⌃⌘Space → type name and select"
"1166","People & Body","🧑‍🏭","E12.1 factory worker","U+1F9D1 U+200D U+1F3ED","Type 1F9D1200D1F3ED, then Alt+X","&#x1F9D1; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1167","People & Body","🧑🏻‍🏭","E12.1 factory worker: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F3ED","Type 1F9D11F3FB200D1F3ED, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1168","People & Body","🧑🏼‍🏭","E12.1 factory worker: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F3ED","Type 1F9D11F3FC200D1F3ED, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1169","People & Body","🧑🏽‍🏭","E12.1 factory worker: medium skin tone","U+1F9D1 U+1F3FD U+200D U+1F3ED","Type 1F9D11F3FD200D1F3ED, then Alt+X","&#x1F9D1; &#x1F3FD; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1170","People & Body","🧑🏾‍🏭","E12.1 factory worker: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F3ED","Type 1F9D11F3FE200D1F3ED, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1171","People & Body","🧑🏿‍🏭","E12.1 factory worker: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F3ED","Type 1F9D11F3FF200D1F3ED, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1172","People & Body","👨‍🏭","E4.0 man factory worker","U+1F468 U+200D U+1F3ED","Type 1F468200D1F3ED, then Alt+X","&#x1F468; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1173","People & Body","👨🏻‍🏭","E4.0 man factory worker: light skin tone","U+1F468 U+1F3FB U+200D U+1F3ED","Type 1F4681F3FB200D1F3ED, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1174","People & Body","👨🏼‍🏭","E4.0 man factory worker: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F3ED","Type 1F4681F3FC200D1F3ED, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1175","People & Body","👨🏽‍🏭","E4.0 man factory worker: medium skin tone","U+1F468 U+1F3FD U+200D U+1F3ED","Type 1F4681F3FD200D1F3ED, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1176","People & Body","👨🏾‍🏭","E4.0 man factory worker: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F3ED","Type 1F4681F3FE200D1F3ED, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1177","People & Body","👨🏿‍🏭","E4.0 man factory worker: dark skin tone","U+1F468 U+1F3FF U+200D U+1F3ED","Type 1F4681F3FF200D1F3ED, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1178","People & Body","👩‍🏭","E4.0 woman factory worker","U+1F469 U+200D U+1F3ED","Type 1F469200D1F3ED, then Alt+X","&#x1F469; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1179","People & Body","👩🏻‍🏭","E4.0 woman factory worker: light skin tone","U+1F469 U+1F3FB U+200D U+1F3ED","Type 1F4691F3FB200D1F3ED, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1180","People & Body","👩🏼‍🏭","E4.0 woman factory worker: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F3ED","Type 1F4691F3FC200D1F3ED, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1181","People & Body","👩🏽‍🏭","E4.0 woman factory worker: medium skin tone","U+1F469 U+1F3FD U+200D U+1F3ED","Type 1F4691F3FD200D1F3ED, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1182","People & Body","👩🏾‍🏭","E4.0 woman factory worker: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F3ED","Type 1F4691F3FE200D1F3ED, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1183","People & Body","👩🏿‍🏭","E4.0 woman factory worker: dark skin tone","U+1F469 U+1F3FF U+200D U+1F3ED","Type 1F4691F3FF200D1F3ED, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F3ED;","⌃⌘Space → type name and select"
"1184","People & Body","🧑‍💼","E12.1 office worker","U+1F9D1 U+200D U+1F4BC","Type 1F9D1200D1F4BC, then Alt+X","&#x1F9D1; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1185","People & Body","🧑🏻‍💼","E12.1 office worker: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F4BC","Type 1F9D11F3FB200D1F4BC, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1186","People & Body","🧑🏼‍💼","E12.1 office worker: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F4BC","Type 1F9D11F3FC200D1F4BC, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1187","People & Body","🧑🏽‍💼","E12.1 office worker: medium skin tone","U+1F9D1 U+1F3FD U+200D U+1F4BC","Type 1F9D11F3FD200D1F4BC, then Alt+X","&#x1F9D1; &#x1F3FD; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1188","People & Body","🧑🏾‍💼","E12.1 office worker: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F4BC","Type 1F9D11F3FE200D1F4BC, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1189","People & Body","🧑🏿‍💼","E12.1 office worker: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F4BC","Type 1F9D11F3FF200D1F4BC, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1190","People & Body","👨‍💼","E4.0 man office worker","U+1F468 U+200D U+1F4BC","Type 1F468200D1F4BC, then Alt+X","&#x1F468; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1191","People & Body","👨🏻‍💼","E4.0 man office worker: light skin tone","U+1F468 U+1F3FB U+200D U+1F4BC","Type 1F4681F3FB200D1F4BC, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1192","People & Body","👨🏼‍💼","E4.0 man office worker: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F4BC","Type 1F4681F3FC200D1F4BC, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1193","People & Body","👨🏽‍💼","E4.0 man office worker: medium skin tone","U+1F468 U+1F3FD U+200D U+1F4BC","Type 1F4681F3FD200D1F4BC, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1194","People & Body","👨🏾‍💼","E4.0 man office worker: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F4BC","Type 1F4681F3FE200D1F4BC, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1195","People & Body","👨🏿‍💼","E4.0 man office worker: dark skin tone","U+1F468 U+1F3FF U+200D U+1F4BC","Type 1F4681F3FF200D1F4BC, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1196","People & Body","👩‍💼","E4.0 woman office worker","U+1F469 U+200D U+1F4BC","Type 1F469200D1F4BC, then Alt+X","&#x1F469; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1197","People & Body","👩🏻‍💼","E4.0 woman office worker: light skin tone","U+1F469 U+1F3FB U+200D U+1F4BC","Type 1F4691F3FB200D1F4BC, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1198","People & Body","👩🏼‍💼","E4.0 woman office worker: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F4BC","Type 1F4691F3FC200D1F4BC, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1199","People & Body","👩🏽‍💼","E4.0 woman office worker: medium skin tone","U+1F469 U+1F3FD U+200D U+1F4BC","Type 1F4691F3FD200D1F4BC, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1200","People & Body","👩🏾‍💼","E4.0 woman office worker: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F4BC","Type 1F4691F3FE200D1F4BC, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1201","People & Body","👩🏿‍💼","E4.0 woman office worker: dark skin tone","U+1F469 U+1F3FF U+200D U+1F4BC","Type 1F4691F3FF200D1F4BC, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F4BC;","⌃⌘Space → type name and select"
"1202","People & Body","🧑‍🔬","E12.1 scientist","U+1F9D1 U+200D U+1F52C","Type 1F9D1200D1F52C, then Alt+X","&#x1F9D1; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1203","People & Body","🧑🏻‍🔬","E12.1 scientist: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F52C","Type 1F9D11F3FB200D1F52C, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1204","People & Body","🧑🏼‍🔬","E12.1 scientist: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F52C","Type 1F9D11F3FC200D1F52C, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1205","People & Body","🧑🏽‍🔬","E12.1 scientist: medium skin tone","U+1F9D1 U+1F3FD U+200D U+1F52C","Type 1F9D11F3FD200D1F52C, then Alt+X","&#x1F9D1; &#x1F3FD; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1206","People & Body","🧑🏾‍🔬","E12.1 scientist: medium-dark skin tone","U+1F9D1 U+1F3FE U+200D U+1F52C","Type 1F9D11F3FE200D1F52C, then Alt+X","&#x1F9D1; &#x1F3FE; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1207","People & Body","🧑🏿‍🔬","E12.1 scientist: dark skin tone","U+1F9D1 U+1F3FF U+200D U+1F52C","Type 1F9D11F3FF200D1F52C, then Alt+X","&#x1F9D1; &#x1F3FF; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1208","People & Body","👨‍🔬","E4.0 man scientist","U+1F468 U+200D U+1F52C","Type 1F468200D1F52C, then Alt+X","&#x1F468; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1209","People & Body","👨🏻‍🔬","E4.0 man scientist: light skin tone","U+1F468 U+1F3FB U+200D U+1F52C","Type 1F4681F3FB200D1F52C, then Alt+X","&#x1F468; &#x1F3FB; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1210","People & Body","👨🏼‍🔬","E4.0 man scientist: medium-light skin tone","U+1F468 U+1F3FC U+200D U+1F52C","Type 1F4681F3FC200D1F52C, then Alt+X","&#x1F468; &#x1F3FC; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1211","People & Body","👨🏽‍🔬","E4.0 man scientist: medium skin tone","U+1F468 U+1F3FD U+200D U+1F52C","Type 1F4681F3FD200D1F52C, then Alt+X","&#x1F468; &#x1F3FD; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1212","People & Body","👨🏾‍🔬","E4.0 man scientist: medium-dark skin tone","U+1F468 U+1F3FE U+200D U+1F52C","Type 1F4681F3FE200D1F52C, then Alt+X","&#x1F468; &#x1F3FE; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1213","People & Body","👨🏿‍🔬","E4.0 man scientist: dark skin tone","U+1F468 U+1F3FF U+200D U+1F52C","Type 1F4681F3FF200D1F52C, then Alt+X","&#x1F468; &#x1F3FF; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1214","People & Body","👩‍🔬","E4.0 woman scientist","U+1F469 U+200D U+1F52C","Type 1F469200D1F52C, then Alt+X","&#x1F469; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1215","People & Body","👩🏻‍🔬","E4.0 woman scientist: light skin tone","U+1F469 U+1F3FB U+200D U+1F52C","Type 1F4691F3FB200D1F52C, then Alt+X","&#x1F469; &#x1F3FB; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1216","People & Body","👩🏼‍🔬","E4.0 woman scientist: medium-light skin tone","U+1F469 U+1F3FC U+200D U+1F52C","Type 1F4691F3FC200D1F52C, then Alt+X","&#x1F469; &#x1F3FC; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1217","People & Body","👩🏽‍🔬","E4.0 woman scientist: medium skin tone","U+1F469 U+1F3FD U+200D U+1F52C","Type 1F4691F3FD200D1F52C, then Alt+X","&#x1F469; &#x1F3FD; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1218","People & Body","👩🏾‍🔬","E4.0 woman scientist: medium-dark skin tone","U+1F469 U+1F3FE U+200D U+1F52C","Type 1F4691F3FE200D1F52C, then Alt+X","&#x1F469; &#x1F3FE; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1219","People & Body","👩🏿‍🔬","E4.0 woman scientist: dark skin tone","U+1F469 U+1F3FF U+200D U+1F52C","Type 1F4691F3FF200D1F52C, then Alt+X","&#x1F469; &#x1F3FF; &#x200D; &#x1F52C;","⌃⌘Space → type name and select"
"1220","People & Body","🧑‍💻","E12.1 technologist","U+1F9D1 U+200D U+1F4BB","Type 1F9D1200D1F4BB, then Alt+X","&#x1F9D1; &#x200D; &#x1F4BB;","⌃⌘Space → type name and select"
"1221","People & Body","🧑🏻‍💻","E12.1 technologist: light skin tone","U+1F9D1 U+1F3FB U+200D U+1F4BB","Type 1F9D11F3FB200D1F4BB, then Alt+X","&#x1F9D1; &#x1F3FB; &#x200D; &#x1F4BB;","⌃⌘Space → type name and select"
"1222","People & Body","🧑🏼‍💻","E12.1 technologist: medium-light skin tone","U+1F9D1 U+1F3FC U+200D U+1F4BB","Type 1F9D11F3FC200D1F4BB, then Alt+X","&#x1F9D1; &#x1F3FC; &#x200D; &#x1F4BB;","⌃⌘Space → type name and select"
